study_id,vendor,manufacturer,model,field_T,TR_ms,TE_ms,ETL,flip_deg,slice_thick_mm,spacing_mm,inter_slice_gap_mm,acq_matrix,acq_matrix_source,fov_mm,fov_mm_source,bandwidth_Hzpx
S001,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S002,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,86.04,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S003,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.46,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S004,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,468x576,DICOM header (rows/cols fields),195.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S005,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,468x576,DICOM header (rows/cols fields),195.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S006,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S007,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S008,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2500.0,86.1,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),230.0,DICOM header (FOV reported in mm),97.6562
S009,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.46,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S010,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.7,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S011,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S012,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.4,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),240.0,DICOM header (FOV reported in mm),97.6562
S013,UIH,UIH,uMR  660,1.5,3000.0,120.12,19.0,150.0,3.0,3.29999995,0.3,576x576,DICOM header (rows/cols fields),240.0,Derived: DICOM rows x pixel spacing (FOV not reported in header),200.0
S014,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2580.0,86.52,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S015,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.34,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S016,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2560.0,86.4,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
S017,GE,GE MEDICAL SYSTEMS,SIGNA HDe,1.5,2520.0,86.76,21.0,90.0,3.0,4.0,1.0,512x512,DICOM header (rows/cols fields),220.0,DICOM header (FOV reported in mm),97.6562
